White,Black,Result,Round,Date,Opening,View,Unnamed: 0,Name,Name.1,ELO,Points
"Carlsen, M","Dubov, D",1-0,1.11,"Dec 29, 2020","C77 Ruy Lopez, Morphy defence",,,,,,
"Vachier Lagrave, M","So, W",½-½,1.11,"Dec 29, 2020","C67 Ruy Lopez, Berlin defence, open variation",,,,,,
"Nakamura, H","Aronian, L",½-½,1.11,"Dec 29, 2020","D38 Queen's Gambit Declined, Ragozin variation",,,,,,
"Nepomniachtchi, I","Radjabov, T",½-½,1.11,"Dec 29, 2020","D35 Queen's Gambit Declined, 3...Nf6",,,,,,
"Dubov, D","Carlsen, M",½-½,1.12,"Dec 29, 2020","E04 Catalan, open, 5.Nf3",,,,,,
"So, W","Vachier Lagrave, M",0-1,1.12,"Dec 29, 2020","B90 Sicilian, Najdorf",,,,,,
"Aronian, L","Nakamura, H",1-0,1.12,"Dec 29, 2020",D02 Queen's pawn game,,,,,,
"Radjabov, T","Nepomniachtchi, I",½-½,1.12,"Dec 29, 2020","D42 Queen's Gambit Declined, Semi-Tarrasch, 7.Bd3",,,,,,
"Carlsen, M","Dubov, D",0-1,1.13,"Dec 29, 2020","A15 English, 1...Nf6 (Anglo-Indian defense)",,,,,,
"Vachier Lagrave, M","So, W",½-½,1.13,"Dec 29, 2020","C67 Ruy Lopez, Berlin defence, open variation",,,,,,
"Nakamura, H","Aronian, L",½-½,1.13,"Dec 29, 2020","D38 Queen's Gambit Declined, Ragozin variation",,,,,,
"Nepomniachtchi, I","Radjabov, T",½-½,1.13,"Dec 29, 2020","E61 King's Indian defence, 3.Nc3",,,,,,
"Dubov, D","Carlsen, M",½-½,1.14,"Dec 29, 2020",E10 Queen's pawn game,,,,,,
"So, W","Vachier Lagrave, M",0-1,1.14,"Dec 29, 2020","B90 Sicilian, Najdorf",,,,,,
"Aronian, L","Nakamura, H",½-½,1.14,"Dec 29, 2020","B08 Pirc, classical (two knights) system",,,,,,
"Radjabov, T","Nepomniachtchi, I",½-½,1.14,"Dec 29, 2020","D42 Queen's Gambit Declined, Semi-Tarrasch, 7.Bd3",,,,,,
"Dubov, D","Carlsen, M",1-0,1.21,"Dec 30, 2020",E10 Queen's pawn game,,,,,,
"So, W","Vachier Lagrave, M",1-0,1.21,"Dec 30, 2020","A15 English, 1...Nf6 (Anglo-Indian defense)",,,,,,
"Aronian, L","Nakamura, H",1-0,1.21,"Dec 30, 2020",D02 Queen's pawn game,,,,,,
"Radjabov, T","Nepomniachtchi, I",1-0,1.21,"Dec 30, 2020","D42 Queen's Gambit Declined, Semi-Tarrasch, 7.Bd3",,,,,,
"Carlsen, M","Dubov, D",½-½,1.22,"Dec 30, 2020","C48 Four knights, Spanish variation",,,,,,
"Vachier Lagrave, M","So, W",½-½,1.22,"Dec 30, 2020","C67 Ruy Lopez, Berlin defence, open variation",,,,,,
"Nakamura, H","Aronian, L",0-1,1.22,"Dec 30, 2020","A07 Reti, King's Indian attack (Barcza system)",,,,,,
"Nepomniachtchi, I","Radjabov, T",½-½,1.22,"Dec 30, 2020","E25 Nimzo-Indian, Saemisch variation",,,,,,
"Dubov, D","Carlsen, M",1-0,1.23,"Dec 30, 2020",E10 Queen's pawn game,,,,,,
"So, W","Vachier Lagrave, M",½-½,1.23,"Dec 30, 2020","B90 Sicilian, Najdorf",,,,,,
"Radjabov, T","Nepomniachtchi, I",½-½,1.23,"Dec 30, 2020",A04 Reti opening,,,,,,
"Vachier Lagrave, M","So, W",½-½,1.24,"Dec 30, 2020","C65 Ruy Lopez, Berlin defence",,,,,,
"Nepomniachtchi, I","Radjabov, T",1-0,1.24,"Dec 30, 2020","E73 King's Indian, 5.Be2",,,,,,
"Vachier Lagrave, M","So, W",1-0,1.31,"Dec 30, 2020","C67 Ruy Lopez, Berlin defence, open variation",,,,,,
"Radjabov, T","Nepomniachtchi, I",0-1,1.31,"Dec 30, 2020",D02 Queen's pawn game,,,,,,
"So, W","Vachier Lagrave, M",1-0,1.32,"Dec 30, 2020","A15 English, 1...Nf6 (Anglo-Indian defense)",,,,,,
"Nepomniachtchi, I","Radjabov, T",0-1,1.32,"Dec 30, 2020",B00 King's pawn opening,,,,,,
